model,diffusion_steps,mc,section,total_instances,total_evaluated,artifact_rate,rank_acc_all,rank_acc_any,mean_kl_valid,mean_kl_distractor
llada8b-n10-d2,2,2,Normalized_Cleaned,543.0,527.0,0.20543345543345543,0.38519924098671726,0.7362428842504743,0.007711931011148797,0.11711865621156028
llada8b-n10-d4,4,2,Normalized_Cleaned,543.0,491.0,0.41178266178266176,0.40325865580448067,0.7393075356415478,0.04000144935123344,0.17817005146478376
llada8b-n10-d8,8,2,Normalized_Cleaned,543.0,539.0,0.16544566544566544,0.39888682745825604,0.7217068645640075,0.05919285977853768,0.17071114643809354
llada8b-n10-d16,16,2,Normalized_Cleaned,543.0,543.0,0.0843101343101343,0.39594843462246776,0.7384898710865562,0.08172820738073794,0.228595275266262
llada8b-n10-d32,32,2,Normalized_Cleaned,543.0,541.0,0.06367521367521367,0.43253234750462105,0.767097966728281,0.15238546622300386,0.36734890257892994
llada8b-n10-d64,64,2,Normalized_Cleaned,543.0,540.0,0.06442816442816443,0.4148148148148148,0.7203703703703703,0.19589743864024373,0.3570241020254524
llada8b-n10-d128,128,2,Normalized_Cleaned,543.0,541.0,0.0641025641025641,0.3678373382624769,0.7042513863216266,0.21901069434732526,0.37280881941720856
llada8b-n10-d2,2,4,Normalized_Cleaned,543.0,527.0,0.20543345543345543,0.3776091081593928,0.7722960151802657,0.0195394253274439,0.136043160590903
llada8b-n10-d4,4,4,Normalized_Cleaned,543.0,491.0,0.41178266178266176,0.40325865580448067,0.7393075356415478,0.042057062145305094,0.17684079381720963
llada8b-n10-d8,8,4,Normalized_Cleaned,543.0,539.0,0.16544566544566544,0.39517625231910947,0.7291280148423006,0.0633514637255358,0.1686512100156808
llada8b-n10-d16,16,4,Normalized_Cleaned,543.0,543.0,0.0843101343101343,0.4143646408839779,0.7384898710865562,0.08964629382912649,0.2313345069149441
llada8b-n10-d32,32,4,Normalized_Cleaned,543.0,541.0,0.06367521367521367,0.4565619223659889,0.7597042513863216,0.1515413903904919,0.36122941716775014
llada8b-n10-d64,64,4,Normalized_Cleaned,543.0,540.0,0.06442816442816443,0.43333333333333335,0.7296296296296296,0.19931731929094376,0.34727326414283066
llada8b-n10-d128,128,4,Normalized_Cleaned,543.0,541.0,0.0641025641025641,0.4066543438077634,0.7134935304990758,0.21744158961259136,0.3641265264879514
llada8b-n10-d2,2,8,Normalized_Cleaned,543.0,527.0,0.20543345543345543,0.396584440227704,0.7609108159392789,0.017640098369879894,0.14468073222749928
llada8b-n10-d4,4,8,Normalized_Cleaned,543.0,491.0,0.41178266178266176,0.4256619144602851,0.7331975560081466,0.03724715393009085,0.15817727295841857
llada8b-n10-d8,8,8,Normalized_Cleaned,543.0,539.0,0.16544566544566544,0.4044526901669759,0.7439703153988868,0.05896238427858755,0.17010618292547316
llada8b-n10-d16,16,8,Normalized_Cleaned,543.0,543.0,0.0843101343101343,0.4180478821362799,0.7495395948434622,0.09091747684619877,0.23732022576898654
llada8b-n10-d32,32,8,Normalized_Cleaned,543.0,541.0,0.06367521367521367,0.4805914972273567,0.7763401109057301,0.1403120303892374,0.3695187763111223
llada8b-n10-d64,64,8,Normalized_Cleaned,543.0,540.0,0.06442816442816443,0.4185185185185185,0.7055555555555556,0.20938316010111477,0.3438326024108448
llada8b-n10-d128,128,8,Normalized_Cleaned,543.0,541.0,0.0641025641025641,0.38632162661737524,0.7282809611829945,0.21838180305624066,0.35114518574292203
llada8b-n10-d2,2,16,Normalized_Cleaned,543.0,527.0,0.20543345543345543,0.4307400379506641,0.7817836812144212,0.027465019083031415,0.1609519162262092
llada8b-n10-d4,4,16,Normalized_Cleaned,543.0,491.0,0.41178266178266176,0.40529531568228105,0.7515274949083504,0.03408239325174826,0.1417545064063684
llada8b-n10-d8,8,16,Normalized_Cleaned,543.0,539.0,0.16544566544566544,0.43413729128014844,0.7588126159554731,0.060431663661999285,0.1707845081058176
llada8b-n10-d16,16,16,Normalized_Cleaned,543.0,543.0,0.0843101343101343,0.45119705340699817,0.7716390423572744,0.08930324901403383,0.2354360765037185
llada8b-n10-d32,32,16,Normalized_Cleaned,543.0,541.0,0.06367521367521367,0.4676524953789279,0.7726432532347505,0.13315902464097593,0.3547322340207576
llada8b-n10-d64,64,16,Normalized_Cleaned,543.0,540.0,0.06442816442816443,0.43703703703703706,0.725925925925926,0.20500246190414614,0.3591858302317445
llada8b-n10-d128,128,16,Normalized_Cleaned,543.0,541.0,0.0641025641025641,0.3955637707948244,0.7486136783733827,0.2095079173561041,0.3637766298993555
llada8b-n10-d2,2,32,Normalized_Cleaned,543.0,527.0,0.20543345543345543,0.4459203036053131,0.7855787476280834,0.02931460979444432,0.1588135385781097
llada8b-n10-d4,4,32,Normalized_Cleaned,543.0,491.0,0.41178266178266176,0.38289205702647655,0.7535641547861507,0.038897780250877284,0.14801884686961775
llada8b-n10-d8,8,32,Normalized_Cleaned,543.0,539.0,0.16544566544566544,0.45640074211502785,0.8014842300556586,0.052153289432759715,0.16859841185259297
llada8b-n10-d16,16,32,Normalized_Cleaned,543.0,543.0,0.0843101343101343,0.47882136279926335,0.7587476979742173,0.08351313862767847,0.23534424861967798
llada8b-n10-d32,32,32,Normalized_Cleaned,543.0,541.0,0.06367521367521367,0.4436229205175601,0.7726432532347505,0.13344544876420894,0.32881725396362155
llada8b-n10-d64,64,32,Normalized_Cleaned,543.0,540.0,0.06442816442816443,0.4351851851851852,0.7425925925925926,0.20366916567460933,0.37626391592867536
llada8b-n10-d128,128,32,Normalized_Cleaned,543.0,541.0,0.0641025641025641,0.4491682070240296,0.7578558225508318,0.20749925902227614,0.3675179642627472
llada8b-n10-d2,2,64,Normalized_Cleaned,543.0,527.0,0.20543345543345543,0.5104364326375711,0.8121442125237192,0.03906377211457602,0.15899008731964842
llada8b-n10-d4,4,64,Normalized_Cleaned,543.0,491.0,0.41178266178266176,0.4623217922606925,0.7983706720977597,0.031069512830491527,0.14865439037169453
llada8b-n10-d8,8,64,Normalized_Cleaned,543.0,539.0,0.16544566544566544,0.5306122448979592,0.8311688311688312,0.0460535494750375,0.17233133123124023
llada8b-n10-d16,16,64,Normalized_Cleaned,543.0,543.0,0.0843101343101343,0.48066298342541436,0.7753222836095764,0.08566326036778352,0.21913740224143416
llada8b-n10-d32,32,64,Normalized_Cleaned,543.0,541.0,0.06367521367521367,0.4584103512014787,0.7578558225508318,0.13154465153232278,0.30872214419310834
llada8b-n10-d64,64,64,Normalized_Cleaned,543.0,540.0,0.06442816442816443,0.48518518518518516,0.8037037037037037,0.18677147796731755,0.3865890284293296
llada8b-n10-d128,128,64,Normalized_Cleaned,543.0,541.0,0.0641025641025641,0.4713493530499076,0.7689463955637708,0.1858065177155653,0.3677708580850697
llada8b-n10-d2,2,128,Normalized_Cleaned,543.0,527.0,0.20543345543345543,0.6641366223908919,0.8823529411764706,0.03582188449208173,0.1606691715716522
llada8b-n10-d4,4,128,Normalized_Cleaned,543.0,491.0,0.41178266178266176,0.6272912423625254,0.8879837067209776,0.029973210297975752,0.14961449689049808
llada8b-n10-d8,8,128,Normalized_Cleaned,543.0,539.0,0.16544566544566544,0.6660482374768089,0.8682745825602969,0.04641616768178067,0.17208845541253223
llada8b-n10-d16,16,128,Normalized_Cleaned,543.0,543.0,0.0843101343101343,0.6335174953959485,0.85451197053407,0.08625805110942585,0.2340608234252694
llada8b-n10-d32,32,128,Normalized_Cleaned,543.0,541.0,0.06367521367521367,0.6487985212569316,0.8317929759704251,0.13189273773601132,0.31120427866853556
llada8b-n10-d64,64,128,Normalized_Cleaned,543.0,540.0,0.06442816442816443,0.5944444444444444,0.8018518518518518,0.17917998519338493,0.3675857289949764
llada8b-n10-d128,128,128,Normalized_Cleaned,543.0,541.0,0.0641025641025641,0.5859519408502772,0.7948243992606284,0.1806442735724094,0.36859552295169606
llada8b-n10-d2,2,256,Normalized_Cleaned,543.0,527.0,0.20543345543345543,0.7039848197343453,0.9184060721062619,0.0353963480172356,0.16654040719875027
llada8b-n10-d4,4,256,Normalized_Cleaned,543.0,491.0,0.41178266178266176,0.659877800407332,0.869653767820774,0.0334447815224725,0.15019393652133764
llada8b-n10-d8,8,256,Normalized_Cleaned,543.0,539.0,0.16544566544566544,0.6975881261595547,0.9053803339517625,0.04438529516206657,0.17260798522815327
llada8b-n10-d16,16,256,Normalized_Cleaned,543.0,543.0,0.0843101343101343,0.6758747697974218,0.8784530386740331,0.085836395935674,0.23525652348344592
llada8b-n10-d32,32,256,Normalized_Cleaned,543.0,541.0,0.06367521367521367,0.6561922365988909,0.8317929759704251,0.13102068920865,0.3141162750318684
llada8b-n10-d64,64,256,Normalized_Cleaned,543.0,540.0,0.06442816442816443,0.6166666666666667,0.8055555555555556,0.1798824800571942,0.3694290892183366
llada8b-n10-d128,128,256,Normalized_Cleaned,543.0,541.0,0.0641025641025641,0.5914972273567468,0.8022181146025879,0.18198190975264386,0.3706676713569572
llada8b-n10-d2,2,2,Normalized_Unfiltered,543.0,543.0,0.20543345543345543,0.4106813996316759,0.7513812154696132,0.0069786010611019985,0.15621219795317748
llada8b-n10-d4,4,2,Normalized_Unfiltered,543.0,543.0,0.41178266178266176,0.3996316758747698,0.7182320441988951,0.019882610659502965,0.15107827333260818
llada8b-n10-d8,8,2,Normalized_Unfiltered,543.0,543.0,0.16544566544566544,0.429097605893186,0.7200736648250461,0.04759187640966208,0.17807655980170448
llada8b-n10-d16,16,2,Normalized_Unfiltered,543.0,543.0,0.0843101343101343,0.3848987108655617,0.7311233885819521,0.07946736758906131,0.2189194939361885
llada8b-n10-d32,32,2,Normalized_Unfiltered,543.0,543.0,0.06367521367521367,0.42173112338858193,0.7495395948434622,0.14842708422429537,0.3567644852690407
llada8b-n10-d64,64,2,Normalized_Unfiltered,543.0,543.0,0.06442816442816443,0.4125230202578269,0.7237569060773481,0.1879599106339515,0.35134085840985446
llada8b-n10-d128,128,2,Normalized_Unfiltered,543.0,543.0,0.0641025641025641,0.3848987108655617,0.7182320441988951,0.20841464353984152,0.3857255408617995
llada8b-n10-d2,2,4,Normalized_Unfiltered,543.0,543.0,0.20543345543345543,0.42357274401473294,0.7697974217311234,0.01410514944815052,0.16064954337281415
llada8b-n10-d4,4,4,Normalized_Unfiltered,543.0,543.0,0.41178266178266176,0.4180478821362799,0.716390423572744,0.031146240524438543,0.13584195074983696
llada8b-n10-d8,8,4,Normalized_Unfiltered,543.0,543.0,0.16544566544566544,0.4125230202578269,0.7440147329650092,0.050677524362426514,0.1690854292311434
llada8b-n10-d16,16,4,Normalized_Unfiltered,543.0,543.0,0.0843101343101343,0.425414364640884,0.7476979742173112,0.08470350990160591,0.22879952377810273
llada8b-n10-d32,32,4,Normalized_Unfiltered,543.0,543.0,0.06367521367521367,0.44567219152854515,0.7569060773480663,0.14506366509530158,0.3497989020534904
llada8b-n10-d64,64,4,Normalized_Unfiltered,543.0,543.0,0.06442816442816443,0.42357274401473294,0.7384898710865562,0.18918566177877108,0.3495001343108385
llada8b-n10-d128,128,4,Normalized_Unfiltered,543.0,543.0,0.0641025641025641,0.40331491712707185,0.7237569060773481,0.20565221986232798,0.38349395568853073
llada8b-n10-d2,2,8,Normalized_Unfiltered,543.0,543.0,0.20543345543345543,0.43646408839779005,0.7918968692449355,0.010818484436544245,0.16228368714371408
llada8b-n10-d4,4,8,Normalized_Unfiltered,543.0,543.0,0.41178266178266176,0.4180478821362799,0.7311233885819521,0.02966265178708912,0.1233787470690269
llada8b-n10-d8,8,8,Normalized_Unfiltered,543.0,543.0,0.16544566544566544,0.43646408839779005,0.7421731123388582,0.04927651044058792,0.16687707168760318
llada8b-n10-d16,16,8,Normalized_Unfiltered,543.0,543.0,0.0843101343101343,0.42173112338858193,0.7569060773480663,0.08802665763181608,0.22903309436500086
llada8b-n10-d32,32,8,Normalized_Unfiltered,543.0,543.0,0.06367521367521367,0.4714548802946593,0.7771639042357275,0.13402315565486367,0.354794735357628
llada8b-n10-d64,64,8,Normalized_Unfiltered,543.0,543.0,0.06442816442816443,0.4106813996316759,0.7255985267034991,0.19919769130349832,0.34418466126637265
llada8b-n10-d128,128,8,Normalized_Unfiltered,543.0,543.0,0.0641025641025641,0.39594843462246776,0.7384898710865562,0.20469058633032625,0.3643700578205676
llada8b-n10-d2,2,16,Normalized_Unfiltered,543.0,543.0,0.20543345543345543,0.4732965009208103,0.8029465930018416,0.015321662936440796,0.16934201111943864
llada8b-n10-d4,4,16,Normalized_Unfiltered,543.0,543.0,0.41178266178266176,0.430939226519337,0.7421731123388582,0.027692010803677555,0.11628641857334525
llada8b-n10-d8,8,16,Normalized_Unfiltered,543.0,543.0,0.16544566544566544,0.4585635359116022,0.7624309392265194,0.052730676736921965,0.16306781913672858
llada8b-n10-d16,16,16,Normalized_Unfiltered,543.0,543.0,0.0843101343101343,0.4696132596685083,0.7734806629834254,0.08395982173737015,0.23125282692149723
llada8b-n10-d32,32,16,Normalized_Unfiltered,543.0,543.0,0.06367521367521367,0.46593001841620624,0.7771639042357275,0.1297330946297708,0.3400586274072949
llada8b-n10-d64,64,16,Normalized_Unfiltered,543.0,543.0,0.06442816442816443,0.43462246777163904,0.7311233885819521,0.1934914465129023,0.35096191155707457
llada8b-n10-d128,128,16,Normalized_Unfiltered,543.0,543.0,0.0641025641025641,0.3867403314917127,0.7550644567219152,0.1966058164074581,0.36574464422687514
llada8b-n10-d2,2,32,Normalized_Unfiltered,543.0,543.0,0.20543345543345543,0.5009208103130756,0.8084714548802947,0.01659054590956593,0.16293603319711256
llada8b-n10-d4,4,32,Normalized_Unfiltered,543.0,543.0,0.41178266178266176,0.43646408839779005,0.7440147329650092,0.031033060121026634,0.12269209867833826
llada8b-n10-d8,8,32,Normalized_Unfiltered,543.0,543.0,0.16544566544566544,0.4732965009208103,0.8121546961325967,0.04826946793379538,0.161952493309916
llada8b-n10-d16,16,32,Normalized_Unfiltered,543.0,543.0,0.0843101343101343,0.47697974217311234,0.7661141804788214,0.07921646473866688,0.23397922784581648
llada8b-n10-d32,32,32,Normalized_Unfiltered,543.0,543.0,0.06367521367521367,0.43646408839779005,0.7734806629834254,0.1338861393082185,0.31456037208413146
llada8b-n10-d64,64,32,Normalized_Unfiltered,543.0,543.0,0.06442816442816443,0.43278084714548803,0.7587476979742173,0.1945854419153193,0.3656017150810826
llada8b-n10-d128,128,32,Normalized_Unfiltered,543.0,543.0,0.0641025641025641,0.44014732965009207,0.7550644567219152,0.19829231987280574,0.36347997576159585
llada8b-n10-d2,2,64,Normalized_Unfiltered,543.0,543.0,0.20543345543345543,0.5561694290976059,0.8416206261510129,0.031551634393134916,0.15760455955136438
llada8b-n10-d4,4,64,Normalized_Unfiltered,543.0,543.0,0.41178266178266176,0.5082872928176796,0.8250460405156538,0.021148722708598744,0.13065789991056836
llada8b-n10-d8,8,64,Normalized_Unfiltered,543.0,543.0,0.16544566544566544,0.5543278084714549,0.8379373848987108,0.04331854055113599,0.16462174251575568
llada8b-n10-d16,16,64,Normalized_Unfiltered,543.0,543.0,0.0843101343101343,0.4990791896869245,0.7753222836095764,0.0858548602920169,0.22256997918241647
llada8b-n10-d32,32,64,Normalized_Unfiltered,543.0,543.0,0.06367521367521367,0.4548802946593002,0.7661141804788214,0.13394132326536146,0.29568774870777365
llada8b-n10-d64,64,64,Normalized_Unfiltered,543.0,543.0,0.06442816442816443,0.47882136279926335,0.8103130755064457,0.18228105739185108,0.3788783520694198
llada8b-n10-d128,128,64,Normalized_Unfiltered,543.0,543.0,0.0641025641025641,0.47697974217311234,0.7753222836095764,0.17962667787161257,0.36096244881677575
llada8b-n10-d2,2,128,Normalized_Unfiltered,543.0,543.0,0.20543345543345543,0.6869244935543278,0.8876611418047882,0.035222946311086585,0.15821733014889625
llada8b-n10-d4,4,128,Normalized_Unfiltered,543.0,543.0,0.41178266178266176,0.6703499079189686,0.8913443830570903,0.026804718634860565,0.13178091102660308
llada8b-n10-d8,8,128,Normalized_Unfiltered,543.0,543.0,0.16544566544566544,0.6832412523020258,0.8766114180478821,0.044471258367375706,0.17034014918430998
llada8b-n10-d16,16,128,Normalized_Unfiltered,543.0,543.0,0.0843101343101343,0.6427255985267035,0.848987108655617,0.08429313462036589,0.23217122756429953
llada8b-n10-d32,32,128,Normalized_Unfiltered,543.0,543.0,0.06367521367521367,0.6353591160220995,0.8360957642725598,0.12945860889282051,0.299497254050534
llada8b-n10-d64,64,128,Normalized_Unfiltered,543.0,543.0,0.06442816442816443,0.6058931860036832,0.8047882136279927,0.1719441689106402,0.35804498531430107
llada8b-n10-d128,128,128,Normalized_Unfiltered,543.0,543.0,0.0641025641025641,0.5893186003683242,0.7992633517495396,0.17585765805822212,0.35883394102112975
llada8b-n10-d2,2,256,Normalized_Unfiltered,543.0,543.0,0.20543345543345543,0.7255985267034991,0.8987108655616943,0.03458834578016005,0.1629469374839357
llada8b-n10-d4,4,256,Normalized_Unfiltered,543.0,543.0,0.41178266178266176,0.6721915285451197,0.8987108655616943,0.027142323459163325,0.12995422334869486
llada8b-n10-d8,8,256,Normalized_Unfiltered,543.0,543.0,0.16544566544566544,0.7090239410681399,0.9097605893186004,0.04271840573257023,0.17055706434980636
llada8b-n10-d16,16,256,Normalized_Unfiltered,543.0,543.0,0.0843101343101343,0.6777163904235728,0.8821362799263351,0.08382867607837609,0.2332434125249573
llada8b-n10-d32,32,256,Normalized_Unfiltered,543.0,543.0,0.06367521367521367,0.6390423572744015,0.8324125230202578,0.12893257217292967,0.30165742876767687
llada8b-n10-d64,64,256,Normalized_Unfiltered,543.0,543.0,0.06442816442816443,0.6169429097605893,0.8029465930018416,0.1726307480718534,0.35957259707670386
